,GenNorm,LogNorm,T
ABR,0.9164924873599045,0.42865615493043485,0.7577284732021939
ABSI,0.3792702676744455,0.05785286439823634,0.4592196123206801
ABT,0.908201301206726,0.6881250376374903,0.9112745534669927
ABTS,2.7925916680961154e-06,0.00026606278860555294,0.0002688764051930506
ABUS,3.9722788811066206e-05,1.0467879511639806e-05,6.25219041218585e-11
ABVC,4.467151608133094e-54,2.878586023233288e-21,3.26232070795129e-40
ABVX,0.9530957610457704,0.6428198097896981,0.9961702577842787
AC,0.1276436935282712,0.15982294604926317,0.3732219030843169
ACA,0.9903438110379762,0.8438452944324222,0.9947944319301442
ACAB,7.682212286859955e-09,7.781000608232593e-08,4.3191980576870976e-08
ACAC,2.830515996855453e-13,1.5356847584274695e-13,5.177179316546064e-12
ACAD,0.30205464766368073,0.20425242675729072,0.40977372858975547
ACB,9.004650369379682e-19,9.122505812585915e-20,1.4167556005941447e-22
ACBA,2.7351554834571666e-08,1.619539749150355e-08,2.470977755461179e-08
ACCD,0.05654928206686194,7.530689823819342e-05,0.8599390765354036
ACCO,0.8103712321081281,0.18134339091217788,0.9794996728616945
ACDC,0.9910674229699267,0.9845878520280252,0.9887244024727818
ACEL,1.4067140497551338e-12,6.578580332428098e-13,2.605564240878751e-16
ACET,0.9740052800806518,0.39657900003391655,0.8717901433873122
ACGL,0.001417866068102236,0.015278489327839706,0.03017366026892332
ACHC,2.792591590351508e-06,4.170167565814025e-06,3.885047676328876e-09
ACHL,0.9664931283238836,0.26676575320151275,0.9989697115371068
ACHR,0.0945270660988532,0.006531418592165106,0.9873399606852992
ACHV,0.00017246690439460906,0.03226077032258001,0.07982955412469028
ACI,0.664780212428498,0.18898308598654157,0.45150826701072755
ACIC,1.7984452976481001e-12,2.413683191621386e-13,2.5475132173094726e-17
ACIU,0.8134332563127926,0.19517505396751567,0.657025989605492
ACIW,0.0011300157227724927,0.023044999611288253,0.0391447943451122
ACLS,0.9455484069204018,0.7492736565920293,0.7988495414998427
ACLX,0.9169715416982694,0.2909197049250585,0.6742608408791201
ACM,0.9949470559920308,0.6034968415442692,0.9934033686128243
ACMR,0.9439652712177186,0.3250205996413582,0.9307754930829442
ACN,0.4515636328829076,0.5048074231192996,0.4272271987656313
ACNB,7.365046454212122e-11,4.7124290664373586e-07,3.394533450514637e-10
ACNT,0.00015878586120081283,0.01728528657113615,0.015676786294807954
ACON,0.9705471294347924,0.39629849011227847,0.9891185361992659
ACR,0.7670315267746753,0.5799356155556181,0.705061933577932
ACRE,0.9285481409989016,0.6401750928246341,0.9330791066253277
ACRS,0.9116577955319791,0.313831739147145,0.9203059254476426
ACRV,0.8193239787038151,0.006596835398532508,0.764045547873647
